24.95	Mar 13	174212822709	Wedgwood Jasperware Biscuit Barrel Light Green &amp; White "Fox Hunting" 5.25"
65.02	Mar 13	174212799241	WEDGWOOD Blue Jasperware Doric Jug "Sacrifice Figures" 6"
70.00	Mar 13	174212795673	WEDGWOOD Lilac Jasperware Doric Jug "Sacrifice Figures" 6"
46.00	Mar 12	174211835003	Barbie Doll Wedgwood England 1759 Pink Dress Limited Edition 2000
44.05	Mar 12	174197406845;174207261601	Wedgwood Jasperware Blue and White SPILL VASE (Imperial) Footed 4.5" ;Wedgwood Jasperware Marmalade Jar Cobalt Blue "Sacrifice Figures" 3.25"
53.00	Mar 12	174211599455	Wedgwood Gray PITCHER/JUG Jasperware 'Offering to Peace' ETRURIA England ~5"
61.00	Mar 12	174211584863	1988 LLADRO Figurine 'Flower Song' Museum Collectors Society #7607 Original Box
29.95	Mar 9	174208487840	Wedgwood Blue and White Jasperware KNOB 'Hope and the Anchor'
22.00	Mar 9	174208471915	WEDGWOOD Blue and White SPILL VASE (Upright) Jasperware "Apollo Musagetes" ~4in
14.95	Mar 8	174207264501	Lot of 2 Wedgwood Jasperware Blue Etruscan Jugs "Offering to Peace" Excellent 6"
20.55	Mar 7	174206330959	Lot of 2 Dark Blue Wedgwood Jasperware (Etruscan) Jugs 4.5" Rare Designs
26.05	Mar 7	174206329525	Wedgwood Jasperware Dark Blue (Etruscan) Jug with Lid "Sacrifice Figures" 7" 
69.00	Mar 5	174204757973	WEDGWOOD Cobalt Blue Jasperware Doric Jug "Sacrifice Figures" 6"
23.50	Mar 5	174204437393	Wedgwood Jasperware Blue/White (Etruscan Greek Key)Jug "Sacrifice Figures" 6" 
68.51	Mar 4	174203654180	WEDGWOOD Green Jasperware Doric Jug "Offering to Peace" 7.5"
129.50	Mar 4	174203544302	Wedgwood Jasperware Biscuit Barrel Tricolor Dark Blue, Light Blue and White 
92.95	Mar 4	174201589659;174201603536	Wedgwood Green Jasperware Jardiniere (Style 317) 5.5" x 6.25" "Muses" ;Large Wedgwood Green Jasperware Jardiniere (Style 317) 7.25" x 8" "Muses" 
56.95	Mar 3	174197460391;174198466346	Wedgwood Jasperware Dark Blue/White (Etruscan) Jug "Sacrifice Figures" 6" ;Wedgwood Jasperware Biscuit Barrel (1672 shape) Blue &amp; White "Sacrifice Figures"
33.00	Mar 2	174201573114	Wedgwood sage Green Jasperware Hair Tidy (D Shape) "Cupids" 2.5" x 5"
180.45	Mar 2	174187798624;174188555268;174190917299;174190918174;174197812722;174197817586;174197817827;174200170484;174203474106	Wedgwood Teal Green Jasperware Creamer With Lid "Sacrifice Figures" 4 inches;Wedgwood Jasperware Green Tea Set "Sacrifice Figures" 3 piece;Wedgwood Blue Jasperware Oval Comb Tray "Domestic Employment" 6.5" x 9.5";Wedgwood CANDLESTICK Jasperware Green with Finger Ring and Snuffer ;Wedgwood Jasperware Biscuit Barrel (Rounded Top) Dark Blue "Sacrifice Figures" ;Lot of 2 Wedgwood Jasperware Teal Green Etruscan Jugs "Sacrifice Figures" ;Lot of 2 Wedgwood Teal Green and White Jasperware Pitcher &amp; Creamer ;Wedgwood Olive Green Jasperware Comb Tray (Jersey) "Terpsichore" and "Melpomene";Wedgwood Dark Blue Jasperware Sugar Bowl "Cupids" 3.5"H
108.35	Mar 1	174187791185;174188825248;174197740198;174197805106;174199274736;174199285394	Wedgwood Jasperware Biscuit Barrel (1674) Dark Blue "Woman and Children" ;Wedgwood Blue Jasperware Biscuit Barrel Ulysses Staying the Chariot of Victory;Wedgwood Blue Jasperware Biscuit Barrel (1673) "Icarus and Daedalus" c. 1860s;Wedgwood Jasperware Biscuit Barrel (Style 1674) Dark Blue "Woman and Children" ;1977 Wedgwood Silver Ring 'Dancing Hours' White on Green Jasperware ENGLAND;2 Wedgwood Bamboo Candlesticks Terracota on Primrose Jasperware - Yellow Jasper 
28.00	Mar 1	174200608646	WEDGWOOD Blue and White Jasperware Cylinder MATCH BOX 'The Procession'
58.00	Mar 1	174197670006;174198665796	Wedgwood Black Basalt Teapot With Sybil Finial Lid; Wedgwood Jasperware Blue TEAPOT WITH Lid "Offering to Peace" 5" x 9"
